x,cut,table,carat,price
4.54,4,57.0,0.35,552.0
4.23,3,59.0,0.3,552.0
4.29,4,57.0,0.3,552.0
4.3,4,56.0,0.3,552.0
4.78,3,59.0,0.42,552.0
4.39,4,55.3,0.32,553.0
4.33,2,57.0,0.31,553.0
4.35,3,58.0,0.31,553.0
4.29,2,56.0,0.3,554.0
4.28,3,59.0,0.3,554.0
4.29,3,57.0,0.3,554.0
4.28,1,57.0,0.3,554.0
4.65,4,56.0,0.38,554.0
4.35,3,58.0,0.32,554.0
5.7,4,57.0,0.7,2757.0
5.7,4,56.0,0.7,2757.0
5.68,2,57.0,0.71,2759.0
5.81,2,56.0,0.78,2759.0
5.85,1,58.0,0.7,2759.0
5.71,1,62.0,0.7,2759.0
6.27,0,62.0,0.96,2759.0
5.77,2,59.0,0.73,2760.0
5.97,3,58.0,0.8,2760.0
5.8,2,56.0,0.75,2760.0
6.0,3,54.0,0.75,2760.0
5.8,4,55.0,0.74,2760.0
5.85,3,58.0,0.75,2760.0
5.94,4,56.0,0.8,2760.0
5.87,4,55.0,0.75,2760.0
5.9,3,59.0,0.8,2760.0
5.77,4,55.0,0.74,2761.0
6.14,4,57.0,0.81,2761.0
5.38,4,55.0,0.59,2761.0
5.96,4,57.0,0.8,2761.0
5.8,4,56.0,0.74,2761.0
6.16,3,58.0,0.9,2761.0
5.73,2,59.0,0.74,2762.0
5.77,4,56.0,0.73,2762.0
5.8,4,53.0,0.73,2762.0
5.98,3,58.0,0.8,2762.0
5.72,4,54.0,0.71,2762.0
5.73,4,58.0,0.7,2762.0
6.01,4,59.0,0.8,2762.0
5.73,4,56.0,0.71,2762.0
5.8,4,54.0,0.74,2762.0
5.64,2,63.0,0.7,2762.0
5.57,0,57.0,0.7,2762.0
5.63,0,55.0,0.7,2762.0
5.65,3,60.0,0.7,2762.0
6.09,3,56.0,0.91,2763.0
5.56,2,57.0,0.61,2763.0
6.11,0,57.0,0.91,2763.0
6.03,0,60.0,0.91,2763.0
5.89,4,56.0,0.77,2763.0
5.64,2,58.0,0.71,2764.0
5.69,4,59.0,0.71,2764.0
5.62,2,60.0,0.7,2765.0
5.88,2,60.0,0.77,2765.0
5.52,3,60.0,0.63,2765.0
5.74,2,62.0,0.71,2765.0
5.69,3,59.0,0.71,2765.0
5.88,4,57.0,0.76,2765.0
5.53,4,56.0,0.64,2766.0
5.78,3,57.0,0.71,2766.0
5.89,3,56.0,0.71,2766.0
5.68,2,55.0,0.7,2767.0
5.8,2,57.0,0.7,2767.0
5.74,4,55.0,0.71,2767.0
5.52,2,59.0,0.71,2768.0
5.83,2,56.0,0.73,2768.0
5.66,2,58.0,0.7,2768.0
5.73,4,57.0,0.7,2768.0
5.71,3,59.0,0.71,2768.0
5.82,4,56.0,0.74,2769.0
5.65,3,60.0,0.71,2770.0
5.83,3,59.0,0.73,2770.0
5.79,2,57.0,0.76,2770.0
5.78,4,57.0,0.76,2770.0
5.77,4,56.0,0.71,2770.0
5.87,3,58.0,0.73,2770.0
5.79,3,58.0,0.73,2770.0
5.92,4,57.0,0.73,2770.0
5.92,3,59.0,0.73,2770.0
5.81,2,56.0,0.72,2771.0
5.79,2,60.0,0.73,2771.0
5.73,4,57.0,0.71,2771.0
5.97,4,55.0,0.79,2771.0
5.83,2,59.0,0.73,2772.0
6.01,2,57.0,0.8,2772.0
5.39,4,55.0,0.58,2772.0
5.33,4,56.0,0.58,2772.0
5.8,1,61.0,0.71,2772.0
5.85,4,56.0,0.75,2773.0
5.87,3,62.0,0.7,2773.0
6.83,2,61.0,1.17,2774.0
5.41,4,55.0,0.6,2774.0
5.68,4,55.0,0.7,2774.0
5.85,1,54.0,0.83,2774.0
5.8,2,61.0,0.74,2775.0
5.62,2,56.4,0.72,2776.0
5.74,3,58.0,0.71,2776.0
5.79,4,57.0,0.71,2776.0
5.25,4,56.0,0.54,2776.0
5.24,4,57.0,0.54,2776.0
5.72,4,56.0,0.72,2776.0
5.79,4,56.0,0.72,2776.0
5.8,1,60.5,0.72,2776.0
5.8,4,56.0,0.71,2776.0
5.66,2,58.0,0.7,2777.0
5.67,3,58.0,0.71,2777.0
5.64,2,57.0,0.71,2777.0
5.61,1,58.0,0.71,2777.0
5.87,1,60.0,0.71,2777.0
5.7,4,55.0,0.7,2777.0
5.71,3,60.0,0.7,2777.0
5.79,3,59.0,0.7,2777.0
5.73,3,57.0,0.7,2777.0
5.67,3,59.0,0.7,2777.0
5.73,3,57.0,0.7,2777.0
5.78,3,58.0,0.7,2777.0
5.76,4,57.0,0.7,2777.0
5.82,3,61.0,0.72,2777.0
5.76,2,63.0,0.7,2777.0
5.71,3,58.0,0.7,2777.0
5.77,3,58.0,0.7,2777.0
5.64,1,59.0,0.7,2777.0
6.05,0,60.0,0.98,2777.0
5.83,3,58.0,0.78,2777.0
5.6,2,60.0,0.7,2777.0
5.19,4,55.0,0.52,2778.0
5.82,2,56.0,0.73,2779.0
5.84,4,56.0,0.74,2779.0
5.61,2,57.0,0.7,2780.0
5.9,3,58.0,0.77,2780.0
5.68,4,54.0,0.71,2780.0
5.81,4,55.0,0.74,2780.0
5.64,4,59.0,0.7,2780.0
6.39,3,60.0,1.01,2781.0
5.83,4,56.0,0.77,2781.0
5.92,4,56.0,0.78,2781.0
5.83,2,63.0,0.72,2782.0
5.9,4,56.0,0.76,2782.0
5.81,1,62.0,0.7,2782.0
5.62,3,60.0,0.7,2782.0
5.78,2,58.0,0.75,2782.0
5.76,4,57.0,0.72,2782.0
5.73,3,59.0,0.72,2782.0
5.68,3,60.0,0.7,2782.0
5.88,3,59.0,0.75,2782.0
5.14,4,55.0,0.52,2783.0
5.69,2,54.0,0.72,2784.0
5.85,2,56.0,0.79,2784.0
5.66,2,58.0,0.72,2787.0
5.11,4,57.0,0.51,2787.0
5.54,4,56.0,0.64,2787.0
5.74,2,60.0,0.7,2788.0
6.07,2,60.0,0.83,2788.0
5.85,4,56.0,0.76,2788.0
5.64,1,56.0,0.71,2788.0
5.71,4,55.0,0.71,2788.0
6.29,0,58.0,1.01,2788.0
6.31,3,59.0,1.01,2788.0
5.76,1,54.0,0.76,2789.0
5.92,3,58.0,0.76,2789.0
5.82,3,58.0,0.76,2789.0
6.49,2,56.0,1.05,2789.0
5.97,4,56.0,0.81,2789.0
5.72,4,56.0,0.7,2789.0
5.28,4,57.0,0.55,2789.0
5.94,1,61.0,0.81,2789.0
5.48,3,57.0,0.63,2789.0
5.55,3,60.0,0.63,2789.0
5.9,3,60.0,0.77,2789.0
6.41,0,59.0,1.05,2789.0
5.54,4,56.0,0.64,2790.0
6.0,3,59.0,0.76,2790.0
6.02,4,55.0,0.83,2790.0
5.77,3,62.0,0.71,2790.0
5.73,3,59.0,0.71,2790.0
6.07,2,55.8,0.87,2791.0
5.74,4,56.0,0.73,2791.0
5.83,3,59.0,0.71,2792.0
5.7,3,59.0,0.71,2792.0
5.72,4,55.0,0.71,2792.0
5.71,3,60.0,0.7,2792.0
5.78,3,60.0,0.7,2792.0
5.91,3,57.0,0.76,2792.0
5.73,4,56.0,0.7,2792.0
5.98,2,57.0,0.79,2793.0
5.66,2,57.0,0.7,2793.0
5.6,1,55.0,0.7,2793.0
5.87,4,56.0,0.76,2793.0
5.72,4,55.0,0.73,2793.0
5.91,2,56.0,0.79,2794.0
5.81,2,56.0,0.71,2795.0
5.91,3,60.0,0.81,2795.0
5.92,4,55.0,0.81,2795.0
5.74,1,60.0,0.72,2795.0
5.73,3,60.0,0.72,2795.0
5.72,3,57.0,0.72,2795.0
6.17,3,59.0,0.81,2795.0
5.73,3,57.0,0.72,2795.0
6.61,3,60.0,1.0,2795.0
5.7,1,58.0,0.73,2796.0
5.94,2,59.0,0.81,2797.0
6.07,2,60.0,0.81,2797.0
5.67,3,60.0,0.71,2797.0
5.73,3,58.0,0.71,2797.0
5.74,3,60.0,0.71,2797.0
5.34,4,55.0,0.57,2797.0
5.12,4,56.0,0.51,2797.0
5.72,4,58.0,0.72,2797.0
5.77,4,58.0,0.74,2797.0
5.81,4,56.0,0.74,2797.0
6.03,3,57.0,0.8,2797.0
6.19,0,60.0,1.01,2797.0
5.92,2,60.0,0.8,2797.0
5.87,4,59.0,0.77,2798.0
6.19,2,62.0,0.83,2799.0
5.97,4,54.0,0.82,2799.0
5.91,4,57.0,0.78,2799.0
5.43,2,56.0,0.6,2800.0
6.07,1,59.0,0.9,2800.0
5.6,3,58.0,0.7,2800.0
6.17,2,56.0,0.9,2800.0
5.99,4,57.0,0.83,2800.0
6.03,4,57.0,0.83,2800.0
5.95,2,59.0,0.83,2800.0
5.74,3,60.0,0.74,2800.0
5.92,4,59.0,0.79,2800.0
5.43,4,56.0,0.61,2800.0
6.37,4,55.0,0.96,2801.0
5.8,4,55.0,0.73,2801.0
5.76,3,58.0,0.73,2801.0
5.93,4,57.0,0.75,2801.0
5.7,3,58.0,0.71,2801.0
