x,y,z,cut,color,clarity,table,carat,depth,price
4.54,4.59,2.78,4,1,4,57.0,0.35,60.9,552.0
4.23,4.27,2.66,3,6,2,59.0,0.3,62.6,552.0
4.29,4.32,2.69,4,6,2,57.0,0.3,62.5,552.0
4.3,4.33,2.68,4,6,2,56.0,0.3,62.1,552.0
4.78,4.84,2.96,3,1,1,59.0,0.42,61.5,552.0
4.39,4.42,2.73,4,1,6,55.3,0.32,62.0,553.0
4.33,4.3,2.73,2,3,2,57.0,0.31,63.3,553.0
4.35,4.32,2.68,3,3,2,58.0,0.31,61.8,553.0
4.29,4.27,2.7,2,2,2,56.0,0.3,63.1,554.0
4.28,4.24,2.68,3,2,2,59.0,0.3,62.9,554.0
4.29,4.25,2.67,3,2,2,57.0,0.3,62.5,554.0
4.28,4.26,2.72,1,2,2,57.0,0.3,63.7,554.0
4.65,4.67,2.87,4,1,1,56.0,0.38,61.6,554.0
4.35,4.33,2.73,3,1,2,58.0,0.32,62.9,554.0
5.7,5.72,3.57,4,5,2,57.0,0.7,62.5,2757.0
5.7,5.67,3.5,4,3,3,56.0,0.7,61.6,2757.0
5.68,5.73,3.56,2,5,3,57.0,0.71,62.4,2759.0
5.81,5.85,3.72,2,3,1,56.0,0.78,63.8,2759.0
5.85,5.9,3.38,1,5,3,58.0,0.7,57.5,2759.0
5.71,5.76,3.4,1,4,4,62.0,0.7,59.4,2759.0
6.27,5.95,4.07,0,4,1,62.0,0.96,66.3,2759.0
5.77,5.78,3.56,2,5,2,59.0,0.73,61.6,2760.0
5.97,5.93,3.66,3,2,2,58.0,0.8,61.5,2760.0
5.8,5.75,3.65,2,6,2,56.0,0.75,63.2,2760.0
6.0,5.96,3.58,3,5,2,54.0,0.75,59.9,2760.0
5.8,5.85,3.59,4,3,2,55.0,0.74,61.6,2760.0
5.85,5.79,3.59,3,3,3,58.0,0.75,61.7,2760.0
5.94,5.87,3.72,4,1,4,56.0,0.8,62.9,2760.0
5.87,5.8,3.63,4,3,2,55.0,0.75,62.2,2760.0
5.9,5.81,3.69,3,3,2,59.0,0.8,63.0,2760.0
5.77,5.81,3.61,4,1,5,55.0,0.74,62.3,2761.0
6.14,6.11,3.6,4,4,1,57.0,0.81,58.8,2761.0
5.38,5.43,3.35,4,5,5,55.0,0.59,62.0,2761.0
5.96,6.0,3.67,4,4,1,57.0,0.8,61.4,2761.0
5.8,5.84,3.62,4,5,1,56.0,0.74,62.2,2761.0
6.16,6.12,3.87,3,1,3,58.0,0.9,63.0,2761.0
5.73,5.82,3.59,2,3,2,59.0,0.74,62.2,2762.0
5.77,5.74,3.6,4,4,3,56.0,0.73,62.6,2762.0
5.8,5.75,3.62,4,4,3,53.0,0.73,62.7,2762.0
5.98,5.94,3.68,3,4,1,58.0,0.8,61.7,2762.0
5.72,5.76,3.58,4,3,3,54.0,0.71,62.4,2762.0
5.73,5.76,3.49,4,5,3,58.0,0.7,60.7,2762.0
